0000 ゴールド
2B08 リングメイルUltimate
2C08 メタルスケールアーマーUltimate
2D08 銅の鎧Ultimate
2E08 ブレストプレートUltimate
2F08 クィレスUltimate
3008 ホバークUltimate
3108 ライトアーマーUltimate
3208 ハーフプレートアーマーUltimate
3308 ブリガンディンUltimate
3408 チェーンメイルUltimate
3508 ドラゴンスキンアーマーUltimate
3608 プレートメイルUltimate
3708 コンポジットアーマーUltimate
3808 フルプレートアーマーUltimate
3908 ミスリルコートUltimate
3A08 ショルダーパッドUltimate
3B08 ロングコートUltimate
3C08 エンジェルプレートUltimate
3D08 格闘服Ultimate
3E08 ウッドアーマーUltimate
3F08 ロマアーマーUltimate
4008 ミニドレスUltimate
4108 プリンセスドレスUltimate
4208 ウェディングドレスUltimate
4308 デビルメイルUltimate
4408 ショートソードUltimate
4508 メディアムソードUltimate
4608 ロングソードUltimate
4708 ハイ・ソードUltimate
4808 ブロードソードUltimate
4908 クリスタルソードUltimate
4A08 半月刀Ultimate
4B08 カラベラUltimate
4C08 騎兵刀Ultimate
4D08 シャムシールUltimate
4E08 偃月刀Ultimate
4F08 タルワールUltimate
5008 ソードスティックUltimate
5108 レイピアUltimate
5208 スモールソードUltimate
5308 タウンソードUltimate
5408 カトラスUltimate
5508 ハンガーUltimate
5608 クリスUltimate
5708 クリスナーガUltimate
5808 チンクェディアUltimate
5908 エンシェントソードUltimate
5A08 グラディウスUltimate
5B08 スパタUltimate
5C08 ハンドアックスUltimate
5D08 タバールUltimate
5E08 サークルシールドUltimate
5F08 ラウンドシールドUltimate
6008 ビッグシールドUltimate
6108 スキュトゥムUltimate
6208 カイトシールドUltimate
6308 ヒーターシールドUltimate
6408 タワーシールドUltimate
6508 ファビスUltimate
6608 スパイクシールドUltimate
6708 アスピスUltimate
6808 ディフェンダーUltimate
6908 イージスUltimate
6A08 マインゴーシュUltimate
6B08 パーリングダガーUltimate
6C08 練習用両手持ち剣Ultimate
6D08 バスタードソードUltimate
6E08 両手持ち剣Ultimate
6F08 グレートソードUltimate
7008 ツヴァィハンダーUltimate
7108 チャンピオンソードUltimate
7208 クレイモアUltimate
7308 エリートソードUltimate
7408 フランベルジュUltimate
7508 タイタンブレードUltimate
7608 エクゼキューショナーズソードUltimate
7708 スレイヤーソードUltimate
7808 グレートアックスUltimate
7908 半月斧Ultimate
7A08 バトルアックスUltimate
7B08 巨人の斧Ultimate
7C08 杖Ultimate
7D08 木の杖Ultimate
7E08 小さい杖 Ultimate
7F08 短い杖Ultimate
8008 長い杖 Ultimate
8108 ハイ・スタッフUltimate
8208 山登り杖Ultimate
8308 鋼の杖Ultimate
8408 魔法の杖Ultimate
8508 高位魔法杖Ultimate
8608 牙Ultimate
8708 青銅の牙Ultimate
8808 鉄の牙Ultimate
8908 鋼の牙Ultimate
8A08 銀の牙Ultimate
8B08 合金の牙Ultimate
8C08 金の牙Ultimate
8D08 白金の牙Ultimate
8E08 金剛石の牙Ultimate
8F08 棍棒Ultimate
9008 木の棍棒Ultimate
9108 メイスUltimate
9208 強化鉄槌Ultimate
9308 ハンマーUltimate
9408 モールUltimate
9508 ウォーハンマーUltimate
9608 グレートモールUltimate
9708 モーニングスターUltimate
9808 モルゲンシュテルンUltimate
9908 殻竿Ultimate
9A08 スカージUltimate
9B08 聖水撒きUltimate
9C08 神聖なるホールUltimate
9D08 ホールUltimate
9E08 領主のホールUltimate
9F08 戦闘用ホールUltimate
A008 帝王のホールUltimate
A108 銅の翼Ultimate
A208 黄銅の翼Ultimate
A308 青銅の翼Ultimate
A408 鉄の翼Ultimate
A508 鋼の翼Ultimate
A608 隕鉄の翼Ultimate
A708 銀の翼Ultimate
A808 黒檀の翼Ultimate
A908 金の翼Ultimate
AA08 黒曜石の翼Ultimate
AB08 プラチナの翼Ultimate
AC08 チタニウムの翼Ultimate
AD08 金剛石の翼Ultimate
AE08 ダートUltimate
AF08 戦闘ダートUltimate
B008 短剣Ultimate
B108 投げ短剣Ultimate
B208 小型手裏剣Ultimate
B308 手裏剣Ultimate
B408 ブーメランUltimate
B508 戦闘ブーメランUltimate
B608 ボウラスUltimate
B708 アチコUltimate
B808 トマホークUltimate
B908 ハチェットUltimate
BA08 フランシスカUltimate
BB08 ボーディングアックスUltimate
BC08 チャクラムUltimate
BD08 バトルチャクラムUltimate
BE08 小型の弓Ultimate
BF08 強化弓Ultimate
C008 補強された弓Ultimate
C108 合成の弓Ultimate
C208 軽い弓Ultimate
C308 中間弓Ultimate
C408 狩りの弓Ultimate
C508 狩猟の弓Ultimate
C608 重い弓Ultimate
C708 長い弓Ultimate
C808 巨大弓Ultimate
C908 小さい戦闘用弓Ultimate
CA08 戦闘用の弓Ultimate
CB08 長い戦闘用弓Ultimate
CC08 小型の攻城用弓Ultimate
CD08 大型の攻城用弓Ultimate
CE08 矢Ultimate
CF08 石の矢Ultimate
D008 軽めの矢Ultimate
D108 重めの矢Ultimate
D208 鉄の矢Ultimate
D308 火の矢Ultimate
D408 毒の矢Ultimate
D508 氷の矢Ultimate
D608 ショートスピアUltimate
D708 ショートパイクUltimate
D808 フィルルムUltimate
D908 投げ槍Ultimate
DA08 ロングスピアUltimate
DB08 ファランクスUltimate
DC08 三枝槍Ultimate
DD08 銛Ultimate
DE08 グレイプUltimate
DF08 ウィングスピアUltimate
E008 二枝槍Ultimate
E108 コルセスカUltimate
E208 スパチュームUltimate
E308 斧槍Ultimate
E408 ヴージュUltimate
E508 超長槍Ultimate
E608 戦闘用パイクUltimate
E708 パルチザンUltimate
E808 ビルUltimate
E908 ランスUltimate
EA08 笛Ultimate
EB08 ハイフルートUltimate
EC08 クラリネットUltimate
ED08 ベースクラリネットUltimate
EE08 オーボエUltimate
EF08 テナーオーボエUltimate
F008 リコーダUltimate
F108 ソプラノリコーダUltimate
F208 葉っぱ笛Ultimate
F308 松葉の笛Ultimate
F408 竹笛Ultimate
F508 洞簫Ultimate
F608 スリングUltimate
F708 パワースリングUltimate
F808 キルトスリングUltimate
F908 布製スリングUltimate
FA08 パッチワークスリングUltimate
FB08 ミックススリングUltimate
FC08 レザー製スリングUltimate
FD08 毛皮製スリングUltimate
FE08 アリゲータースリングUltimate
FF08 ラバースリングUltimate
0009 スプリングスリングUltimate
0109 スタッドスリングUltimate
0209 チェーンスリングUltimate
0309 メタルスリングUltimate
0409 ミスリルスリングUltimate
0509 ファイアーボトルUltimate
0609 アイスボトルUltimate
0709 ポイズンボトルUltimate
0809 石弾Ultimate
0909 鉄弾Ultimate
0A09 爆弾Ultimate
0B09 棒Ultimate
0C09 スモールワンドUltimate
0D09 キュービックワンドUltimate
0E09 タクトUltimate
0F09 クリスタルワンドUltimate
1009 スターワンドUltimate
1109 スペシャルタクトUltimate
1209 指揮刀Ultimate
1309 トランシャンUltimate
1409 マジカルマイクUltimate
1509 メガホンワンドUltimate
1609 マジックワンドUltimate
1709 クラウンワンドUltimate
1809 ミラクルワンドUltimate
1909 アークロッドUltimate
1A09 レザーウィップUltimate
1B09 ダブルウィップUltimate
1C09 リヴェットウィップUltimate
1D09 ボーンウィップUltimate
1E09 チェーンウィップUltimate
1F09 スチールウィップUltimate
2009 ブレードウィップUltimate
2109 ボーンブレードウィップUltimate
2209 ファイアーウィップUltimate
2309 ハデスウィップUltimate
2409 クモの糸
2509 砂漠スパイダーの糸
2609 毒スパイダーの糸
2709 骸骨狂戦士の肋骨
2809 魔術師の杖
2909 ロックゴーレムの刀
2A09 エルフ巡察者の角
2B09 鷲王の骨
2C09 骸骨見習騎士の肋骨
2D09 ウルフの皮
2E09 食人スコーピオンの皮
2F09 ビッグシェルの鱗
3009 茶色熊の皮
3109 マゴット皮
3209 野良犬の皮
3309 ヴァンパイアの耳
3409 ラットマンの足指の爪
3509 マミーの包帯
3609 オーガの皮
3709 ビホルダーの卵
3809 ビホルダーの目
3909 リザードトルーパの皮
3A09 サイドウォーカーの角質
3B09 メロウの水
3C09 バーバリアンの火
3D09 殺人蚊の群れの空気
3E09 リーチの土
3F09 治療魔法書
4009 攻撃魔法書
4109 防御魔法書
4209 カインの杖
4309 アステリ魔法書
4409 神聖魔法書
4509 神秘の赤い花
4609 リマオの手紙
4709 リマの指輪
4809 秘密文書
4909 白魔法書
4A09 神仙花
4B09 レッドアイ文書Ⅰ
4C09 レッドアイ文書Ⅱ
4D09 補聴器
4E09 レッドアイ文書Ⅳ
4F09 レッドアイ文書Ⅲ
5009 腐乱ミイラの角質
5109 わからない布
5209 工業用蜂蜜
5309 火鬼の火
5409 ソードスパイダーの細い蜘蛛の糸
5509 ゾンビの液体
5609 ダイアーウルフの犬歯
5709 文書封印紙
5809 文書封筒
5909 アンドロニの安否が書かれた手紙
5A09 細い蜘蛛の巣
5B09 アンドロナの返事
5C09 魔法古文書
5D09 王の鎧
5E09 王の剣
5F09 ドラゴンのネックレス
6009 蜂の群れの花蜜
6109 フェイズスパイダの毒
6209 ソードスパイダーの毒
6309 トレントの木の欠片
6409 ティンバーマンの木
6509 アイオケン
6609 レッドストーンの鎧
6709 デビルスカラーの指輪
6809 愛の指輪
6909 友情の指輪
6A09 ダークエルフの矢紐
6B09 エルフの心臓
6C09 神経安定剤
6D09 天使の羽
6E09 黒い天使の羽
6F09 忘却のポーション
7009 エーデルワイス
7109 心霊の指輪
7209 ブロームの証明書
7309 レッドアイ団員証
7409 石
7509 木
7609 異次元ボックス[Trade]
7709 魔力解除キット[Trade]
7809 超強力魔力解除キット[Trade]
7909 RED STONE用の袋
7A09 カルディアの部屋の鍵
7B09 レッドアイ名簿
7C09 鎧霊
7D09 排水用工具
7E09 秘密資料室の鍵
7F09 蜂蜜缶
8009 ウクレレツリー
8109 愛の手紙
8209 赤い粉
8309 鎧製作用皮紐
8409 ポイズンテールの甲羅
8509 祝福の赤い飾り
8609 鉄鉱原石
8709 石炭原石
8809 月の涙
8909 ロイヤルゼリー
8A09 モリゴンの手紙
8B09 宝石学の教科書
8C09 レッドアイ文書Ⅴ
8D09 アンナの指輪
8E09 放浪のメロディー
8F09 リトルサンシャイン
9009 マスターキャップ
9109 ファーブの帽子
9209 黒鉄帽
9309 タレントハット
9409 アースアンプ
9509 ハイハット
9609 グリムジョーカーの帽子
9709 花の乙女のサークレット
9809 プラスチックフラワーズ
9909 スリーピングロマ
9A09 精霊王の冠
9B09 ソーサラークラウン
9C09 ポテンシャルドラッガー
9D09 シールドペア
9E09 ベノムポッド
9F09 シュトゥルムの風
A009 スペクトラルタック
A109 アイアンフィスト
A209 グリッドシーカー
A309 バーニングファイター
A409 ロングビル
A509 アディクションペグ
A609 ホットドッグボーン
A709 トンファクロー
A809 ユニコーンの腕輪
A909 百八煩悩
AA09 ヘルスブレスレット
AB09 カンニバリスター
AC09 タナトスヤーン
AD09 マグネットアームレット
AE09 シグの呪い
AF09 ガーダーベルト
B009 フローズンコイル
B109 天竜のベルト
B209 春の端境期
B309 インスタントエイド
B409 ツインカール
B509 インクイジター
B609 騎士用ベルト
B709 ゴッドマザー
B809 アンジーの契約
B909 レザーヒール
BA09 バッサドラッヘ
BB09 スナイピングアペックス
BC09 ローゼンメモリー
BD09 スタチューブーツ
BE09 黄金ブーツ
BF09 イールスパイン
C009 アメジスティアン
C109 見張り人の目
C209 合格祈願
C309 霧の隠れ蓑
C409 迷える追跡人
C509 スティールネックガード
C609 ウルクカラー
C709 ポジティブシール
C809 太極リング
C909 テスラループ
CA09 ソリティアサーパント
CB09 クレマーメビウス
CC09 スティングララバイ
CD09 黒竜の指輪
CE09 シャークフィン
CF09 レブリングヒンジ
D009 アイボリーダスト
D109 トリニティーラスター
D209 フリーダムエンプレス
D309 女神の息吹
D409 スターチャイルド
D509 クールガイ
D609 ブラックオーラ
D709 ボルテックステクスチャー
D809 モダンマジシャン
D909 アキュパンクチャーポイント
DA09 エンジェルローブ
DB09 ドレイクプルーム
DC09 サリーンイントルーダー
DD09 軍楽隊の兵士
DE09 ホワイトナイン
DF09 カパースカー
E009 バイタルシーカー
E109 フリックコート
E209 リフレクションコーティング
E309 ホバーピラー
E409 オームマント
E509 グリードバーク
E609 ビーストベリー
E709 ブルーベルベット
E809 マルダの葉
E909 ミストラルルーン
EA09 アズラエルのフルアーマー
EB09 タレンテッドリーダー
EC09 カルスのパッド
ED09 ヴォルフラムファー
EE09 ジャ・シーン
EF09 古い道士服
F009 魔法騎士エリプシャン
F109 ビスルキルト
F209 ビーチピーチ
F309 レイリーのレプリカ
F409 五月の女王
F509 ダマテルの肋骨
F609 熱血の指輪
F709 ブレイドウィップ
F809 先手必勝
F909 Rank10-EX ダート
FA09 Rank10-EX 小型手裏剣
FB09 Rank9-EX 短剣
FC09 Rank9-EX 手裏剣
FD09 Rank8-EX 投げ短剣
FE09 Rank8-EX カラベラ
FF09 Rank8-EX ツヴァィハンダー
000A Rank8-EX 短い杖
010A Rank8-EX 銀の牙
020A Rank8-EX 殻竿
030A Rank8-EX  鋼の翼
040A Rank8-EX ファランクス
050A Rank8-EX 軽い弓
060A Rank8-EX オーボエ
070A Rank10-EX スリング
080A Rank10-EX パワースリング
090A Rank9-EX キルトスリング
0A0A Rank9-EX 布製スリング
0B0A Rank8-EX パッチワークスリング
0C0A Rank10-EX 棒
0D0A Rank10-EX キュービックワンド
0E0A Rank9-EX タクト
0F0A Rank9-EX クリスタルワンド
100A Rank8-EX スターワンド
110A Rank10-EX レザーウィップ
120A Rank10-EX ブレイドウィップ
130A Rank9-EX ダブルウィップ
140A Rank9-EX リヴェットウィップ
150A Rank8-EX ボーンウィップ
160A Rank10-EX 格闘用グローブ
170A Rank9-EX 武道グローブ
180A Rank8-EX 格闘用グローブ
190A Rank8-EX クィレス
1D0A 赤色の糸
1E0A プチポータル・スフィアー
1F0A ネイダック平原の収穫物
200A アレックス・ルイ伯爵のプレゼント
210A ストラウス国王のメッセージ
220A トルゲレフ家の名剣
230A ミルベル家の名品
240A ブルボン家のネックレス
250A パトリキー家の制服
260A アリストイ家の指輪
270A ベーグル
280A 中身が分からない品物
290A ネロンガイトのブレード
2A0A アリストイ公爵の手紙
2B0A シュトラディバリ一族の家紋
2C0A 建築用木資材
2D0A 建築用石資材
2E0A 平和の種子
2F0A 紋章の下書き
300A ミルベル家の特産品
310A プロドの指輪
320A カニの肉
330A メロウのしっぽ
340A 食材料
350A シャトゥ・ブレリュ
360A フレッシュボックス
370A カニミソ
380A 炎のヒレ
390A エルフの涙
3A0A 熊の肉
3B0A アリアンテレポーター無料利用券
3C0A ビガプールテレポーター無料利用券
3D0A 大事な食べ物が入っているつぼ
3E0A 大事な食べ物が入ったつぼ(半分)
3F0A ノタジールの金の袋
400A 装飾用黄金羽
410A 装飾用黄金剣
420A 小さなメッセージ
430A クロポルの花
440A アレルギーを抑える薬
450A ビガプール教会の年間活動報告書
460A アンジェラ修道女の手紙
470A グリーク教の指輪
480A 教会支援金
490A ビガプール・ガイドマップ
4A0A 国王の指輪
4B0A 古代王国の紋様
4C0A ペストサンプル
4D0A マルノーのさびた鍵
4E0A キャランスキーの文書
4F0A 宝物管理書(翻訳)
500A 組織員個人情報ファイル(翻訳)
510A 信号弾
520A ザクロの実が盛られたつぼ
530A アロエが盛られたつぼ
540A アロエジュース
550A 蜘蛛の体液
560A サニールの家の契約書
570A シーロンの金の袋
580A カートのお金の袋
590A モーリスが失くした指輪
5A0A ザクロエキス
5B0A 傭兵の意見1
5C0A 傭兵の意見2
5D0A 傭兵の意見3
5E0A 傭兵の意見4
5F0A ベリータのプレゼント箱
600A 力の魔法エンチャント水晶
610A 敏捷性の魔法エンチャント水晶
620A 健康の魔法エンチャント水晶
630A 知恵の魔法エンチャント水晶
640A 知識の魔法エンチャント水晶
650A カリスマの魔法エンチャント水晶
660A 運の魔法エンチャント水晶
670A ダメージの魔法エンチャント水晶
680A 防御力の魔法エンチャント水晶
690A 体力の魔法エンチャント水晶
6A0A CPの魔法エンチャント水晶
6B0A 火攻撃の魔法エンチャント水晶
6C0A 水攻撃の魔法エンチャント水晶
6D0A 風攻撃の魔法エンチャント水晶
6E0A 大地攻撃の魔法エンチャント水晶
6F0A 光攻撃の魔法エンチャント水晶
700A 闇攻撃の魔法エンチャント水晶
710A 火抵抗の魔法エンチャント水晶
720A 水抵抗の魔法エンチャント水晶
730A 風抵抗の魔法エンチャント水晶
740A 大地抵抗の魔法エンチャント水晶
750A 光抵抗の魔法エンチャント水晶
760A 闇抵抗の魔法エンチャント水晶
770A カルトの手紙
780A フォーリン望楼地下監獄の鍵
790A バンドウイスキー
7A0A ビバクーレシピ
7B0A ゲリングスのラブレター
7C0A フランコのうわさⅠ
7D0A 切れたドミニクのネックレス
7E0A ドミニクのネックレス
7F0A 柔らかいカニの肉
800A 強いお酒
810A 告げ口メモ
820A ペザル
830A ペザル-F
840A カラス諜報員の印
850A 容疑者の銀行書類
860A 容疑者の証拠資料
870A お金の入っている箱
880A アベイルの注文書
890A 医療機器の箱
8A0A 花束
8B0A アイスウエア
8C0A ミヌエルのお金包み
8D0A ミヌエルの貯金通帳
8E0A 野良犬の歯
8F0A ソードスパイダーの足
900A トレントの木切れ
910A ティンバーマンの木切れ
920A 空きビン
930A ビッグアイ飲み水サンプル
940A 空バケツ
950A 食材料が盛られたバケツ
960A ケズナーの報告書
970A ジェイクの補給品
980A 殺人蚊の針
990A 補給品配達確認書
9A0A フランコのうわさⅡ
9B0A フランコのうわさⅢ
9C0A フランコのうわさⅣ
9D0A きらめく鉄鉱石
9E0A ローズの花束
9F0A チューリップの花束
A00A 遺物展示場の北門の鍵
A10A 遺物展示場の南門の鍵
A20A 遺物展示場の東門の鍵
A30A 遺物展示場の西門の鍵
A40A 遺物展示場の一番目の小道の鍵
A50A 遺物展示場の二番目の小道の鍵
A60A デーモンキングの安息所 1番目の鍵
A70A デーモンキングの安息所 2番目の鍵
A80A ジプラート魔法書
A90A 補聴器改良型
AA0A 蜂蜜
AB0A ウンゲホの足の爪
AC0A ティベル
AD0A 鬼火
AE0A 蜘蛛の巣箱
AF0A 封印材料
B00A ゾンビの体液
B10A 封印材料箱
B20A 宝石学概論
B30A リプリートマーキの魂
B40A トワイライト滝の孵化場の鍵
B50A 化け物部屋の鍵
B60A ダミー(使用しない)1
B70A ダミー(使用しない)2
B80A ダミー(使用しない)3
B90A ダミー(使用しない)4
BA0A 花蜜筒
BB0A ギルドホールの神秘的な時計
BC0A ギルドホールの不思議な時計
BD0A 初心者用ドラゴンの爪
BE0A バントリーの手紙
BF0A 燃え残った文書
C00A きつい臭いのガス
C10A 怪しい花粉
C20A 怪しい石
C30A 水質サンプル
C40A 更新されたウィザードギルドの依頼書
C50A 赤黒いオーラの文書1ページ
C60A 赤黒いオーラの文書2ページ
C70A 赤黒いオーラの文書3ページ
C80A 赤黒いオーラの文書4ページ
C90A 赤黒いオーラの巻物
CA0A スタークの注文書
CB0A デスピンサーの毒針
CC0A 反魔法探知機
CD0A 女性ウィザードとの会話記録
CE0A 男性ウィザードとの会話記録
CF0A 商人サスピンとの会話記録
D00A 傭兵マークとの対話記録
D10A 真紅の魔法石
D20A スタークの印章
D30A 空洞のクリスタル
D40A 海スコーピオンの角質
D50A ねばねばした砂
D60A 海の清水
D70A 真紅の魔法石のかけら
D80A 完了報告書
D90A クリストファー・ニルケの鞄
DA0A クリストファー・ニルケの許可書
DB0A エルランドフォアの推薦状
DC0A ドミンゴペリーの契約書
DD0A 薬品B-1
DE0A 座標認識票-傭兵リアン
DF0A 座標認識票-傭兵スカルセジ
E00A 座標認識票-傭兵ブレックハイマー
E10A 座標認識票-傭兵モルラン
E20A 座標認識票-傭兵シンガー
E30A Lv1 ナルの神像 頭部に関する報告書
E40A Lv1 ナルの神像 頭部のかけら
E50A Lv1 ナルの神像 胴体に関する報告書
E60A Lv1 ナルの神像 胴体のかけら
E70A 未確認鉱物
E80A Lv1 ナルの神像 翼に関する報告書
E90A Lv1 ナルの神像 翼のかけら
EA0A Lv1 ナルの神像 尻尾に関する報告書
EB0A Lv1 ナルの神像 尻尾のかけら
EC0A 厚い防熱カバン
ED0A 粘り強い毛の束
EE0A 厚い皮
EF0A Lv1 ナルの神像 台座に関する報告書
F00A Lv1 ナルの神像 台座かけら
F10A 火の元素抽出機
F20A 花火の結晶抽出機
F30A 火炎の破片抽出機
F40A 熔岩のかけら抽出機
F50A 火山の清水抽出機
F60A 火の元素
F70A 花火の結晶
F80A 火炎の破片
F90A 熔岩のかけら
FA0A 火山の清水
FB0A 水の元素抽出機
FC0A 雨の結晶抽出機
FD0A 暴雨の破片抽出機
FE0A 波のかけら抽出機
FF0A 津波の清水抽出機
000B 水の元素
010B 雨の結晶
020B 暴雨の破片
030B 波のかけら
040B 津波の清水
050B 風の元素抽出機
060B 微風の結晶抽出機
070B 旋風の破片抽出機
080B 暴風のかけら抽出機
090B 台風の清水抽出機
0A0B 風の元素
0B0B 微風の結晶
0C0B 旋風の破片
0D0B 暴風のかけら
0E0B 台風の清水
0F0B 大地の元素抽出機
100B 砂の結晶抽出機
110B 砂利の破片抽出機
120B 岩のかけら抽出機
130B 大山の清水抽出機
140B 大地の元素
150B 砂の結晶
160B 砂利の破片
170B 岩のかけら
180B 大山の清水
190B 光の元素抽出機
1A0B 鏡の結晶抽出機
1B0B 閃光の破片抽出機
1C0B 天上のかけら抽出機
1D0B 太陽の清水抽出機
1E0B 光の元素
1F0B 鏡の結晶
200B 閃光の破片
210B 天上のかけら
220B 太陽の清水
230B 闇の元素抽出機
240B 影の結晶抽出機
250B 深淵の破片抽出機
260B 地獄のかけら抽出機
270B 月の清水抽出機
280B 闇の元素
290B 影の結晶
2A0B 深淵の破片
2B0B 地獄のかけら
2C0B 月の清水
2D0B 聖書の切れ端
2E0B 完成された聖書
2F0B ダイエット用蜂蜜
300B 運動マシーン
310B ピエンナのメモ
320B 漬物フィッシュエッグ
330B 乗船希望者名簿
340B デイモンの書類
350B エルフ戦士の髪の毛
360B トランクマンの胴
370B ハノブ山鉄鉱石
380B 製錬された鉄
390B 鉄鉱石要請書
3A0B 製錬要請書
3B0B アイスボックス
3C0B ガラス瓶
3D0B 黒魔術師の記章
3E0B 正体不明の本
3F0B 古代王国の農業法
400B 古くさい救急箱
410B お母さんの遺書
420B 不思議な石
430B 水晶の鍵
440B 古代水晶のかけら1
450B 古代水晶のかけら2
460B 不思議な石
470B 不思議な石 
4C0B 食人スコーピオンのしっぽ
4D0B 使徒の玉
4E0B 合成に関する書
4F0B ミツバチの箱
500B アイノ・ガスピル会長のメッセージ
510B 自然産蜂蜜
520B 石像の鍵
530B 箱
540B レッドアイ名簿
550B 鳳凰章[E]
560B デビルネック[E]
570B シャドウエンブレム[E]
580B 必勝バンダナ[E]
590B ルシッドヘルム[E]
5A0B 首席合格の冠[E]
5B0B 天の栄光[E]
5C0B ダークバイザー[E]
5D0B クリムソンハット[E]
5E0B テープシェーダー[E]
5F0B ヒーローズプルーフ[E]
600B ホーリストロール[E]
610B スパイラルバックル[E]
620B ベイナビル[E]
630B チェーンスクェア[E]
640B アンチチャージャー[E]
650B フォームガード[E]
660B バタフライスティング[E]
670B ハンズオブアドバサリー[E]
680B マスグリップ[E]
690B ブリーフマーカー[E]
6A0B クロスチェイサー[E]
6B0B ザ・ストライダー[E]
6C0B 千里靴[E]
6D0B スピリットオブコマーシャル[E]
6E0B トラルの遺産[E]
6F0B ブリスククラマー[E]
700B トロールフリース[E]
710B 平民の夢[E]
720B ムーンライトストーカー[E]
730B バディトラスト[E]
740B ハードフィスト[E]
750B ブルンの印章[E]
760B ネクロキャビティ[E]
770B 女神の深さ[E]
780B タートクラフトの婚約指輪[E]
790B 蜘蛛の巣の塊
7A0B 水路修理用工具
7B0B ティリンドラの舌
7C0B ティリンドラの尻尾
7D0B メデス長老のメッセージ
7E0B 生命の杖
7F0B 蜂蜜保存タッパー
800B 宝箱の鍵
810B 天上の書
820B チョコレートのかけら
830B キャンディーのかけら
840B 出席簿
920B チョコレート探索機
930B キャンディー探索機
940B バッファローの肉
950B 古い鍵
960B 古い鞄
970B RED STONE製造に関する書
980B 山神の怒り
990B 小さな種
9A0B 愛国のともし火
A50B 神秘な箱
A60B 奇蹟のユニークアイテムチケット
A70B 至高のユニークアイテムチケット
A80B 究極のユニークアイテムチケット
A90B ユニークアイテムチケット
AA0B 巨竜の角
AB0B 古代ヴァンパイアの奥歯
AC0B ヴァンパイアの歯
AD0B バヘル大河の水
AE0B 白い箱
AF0B ヴァンパイアの翼
B00B 夢解き辞書
B10B パンプキンヘッドの角
B20B マーブルガゴイルの羽束
B30B ビッグシェルの鱗塊
B40B クローラー汁の液
B50B 宝石の種類と歴史
B60B ボーンキメラの角
B70B 秘密金庫の鍵
B80B 図書館の銅鍵
B90B 図書館の銀鍵
BA0B 図書館の金鍵
BB0B 赤き空の日
BC0B RED STONEの実体
BD0B RED STONEの役割
BE0B ヘオリラ
BF0B 光の剣
C00B 光の盾
C10B 純度の高い金
C20B RED STONE製作用魔法液
C30B 黄色い蜘蛛の糸
C40B 高級蜂蜜樽
C50B ウンゲホの爪
C60B 火炎カバン
C70B 蜘蛛の糸 保管箱
C80B ゾンビ体液
C90B ウルフの牙
CA0B 火の鳥の爪
CB0B マップステイル
CC0B ラヴァストーム
CD0B チルドプロミネンス
CE0B スキルレボリューション
CF0B コンストラクトローマ
D00B レジェンドソード
D10B ソーラーエクリプス
D20B ブルースカー
D30B ホーリービーストスレイヤー
D40B ストームオーバーロード
D50B 哀咽剣
D60B オプシディアンソード
D70B スパークセーバー
D80B ウィザードフリッカー
D90B キャッツアイ
DA0B ポートブリッジヘッド
DB0B ファタールビューティ
DC0B イレギュラーアリアン
DD0B インダクションキット
DE0B デボーンナイフ
DF0B ゲナワム拾七
E00B エンシェントキャッスル
E10B アブソリュートラッキー
E20B キャラバンアウトフィット
E30B グレインハーベスト
E40B 採掘斧
E50B バランスドソーサー
E60B ブレードカートリッジ
E70B ウィンドガード
E80B デジャビュシールド
E90B サニースクエア
EA0B シルバーオムパロス
EB0B プレシャスロード
EC0B 知識の盾
ED0B フラッシュスパイク
EE0B エキセントリックファン
EF0B M.P.D.F.
F00B ガディウスウォーデン
F10B スィートラズベリー
F20B 発掘ナイフ
F30B 紫檀剣
F40B リアルハイブリッド
F50B 土龍震剣
F60B ドラゴンツイスター
F70B グールソード
F80B ハイランダーソード
F90B ガッツグローリー
FA0B スローターブレード
FB0B クシャンタリパ
FC0B スティールジャスティス
FD0B 正宗
FE0B ディメンションスレイヤー
FF0B フレンジーアックス
000C 新月
010C ミールの戦斧
020C プラチナアックス
030C ヒートエーテル
040C 赤松杖
050C タフハーフ
060C ヘルブレーン
070C カドゥケウス
080C 雷雲杖
090C ポストブルシニ
0A0C ハードキャンドルスティック
0B0C アケンスティック
0C0C ラクリスウォーターブルー
0D0C スカベンジャー
0E0C ミントワックスファング
0F0C 炎狼牙
100C クリスティラの牙
110C スマグスペシャル
120C ハートディテックチャー
130C グリズリーの牙
140C ドメインスティンク
150C ダイノタスク
160C ヘキサゴンクラブ
170C ゲイルズガジェル
180C アウグスタスカッド
190C トーチングソーン
1A0C オダインハンマー
1B0C ビルクラッカー
1C0C マスブロワー
1D0C シングシング
1E0C ファンキーコンディション
1F0C パーフェクトモード
200C アンデッドサイコパス
210C グラファイトバーブ
220C ロックファウンテン
230C ミッションクレディブル
240C マジェスティックスタッフ
250C コンテッサ
260C インペリアルヴィルトゥオーソ
270C ロイヤルスカルプチャー
280C ソニックフレーム
290C ストラタス
2A0C アンバーアサイラム
2B0C ローズマリープルマージュ
2C0C ギャラクティックトライアード
2D0C ロトンウィンド
2E0C フェザークライト
2F0C セレスティアルホーク
300C クリアフェザー
310C パニッシャー
320C 闇の翼
330C 反逆の翼
340C 祝福の翼
350C デンジャラストイ
360C 桔梗刀
370C 盗掘用短刀
380C ミラージュタッチ
